"General_phylogeny"	"Common_name"	"Family"	"Genus"	"Species"	"Notes"	"Sequencing_Type"	"Paper"	"Accession"	"Multi_species_accession"	"Run"	"is.subset"	"primerset"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352182"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352183"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352184"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352185"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352186"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352187"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352188"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352189"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352190"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352191"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352192"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352193"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352194"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352195"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352196"	FALSE	"ITS3:ITS4"
"Lemur"	"indri"	"Indriidae"	"indri"	"indri indri"	NA	"ITS2"	"Borruso2021"	"PRJEB39443"	FALSE	"ERR4352197"	FALSE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_10_40B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_11_41B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_12_42B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_13_43B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_14_44B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_15_45B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_16_46B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_17_47B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_18_48B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_19_49B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_1_31B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_20_50B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_21_51B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_22_52B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_23_53B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_24_54B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_25_55B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_26_56B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_2_32B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_3_33B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_4_34B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_5_35B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_6_36B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_7_37B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_8_38B"	TRUE	"ITS3:ITS4"
"Old_World"	"baboon"	"Cercopithecidae"	"papio"	"papio cynocephalus"	"in two papers with the same samples"	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1B_B_1_9_39B"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_1_1"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_2_2"	TRUE	"ITS3:ITS4"
"Old_World"	"olive colobus"	"Cercopithecidae"	"procolobus"	"procolobus gordonorum"	NA	"ITS2"	"Barelli2020"	"PRJEB37770"	TRUE	"MA_1_R_1_3_3"	TRUE	"ITS3:ITS4"
