Feature ID	taxonomy
OTU_1	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania
OTU_10001	k__Fungi; p__NA; c__NA; o__NA; f__NA; g__NA
OTU_10002	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella
OTU_10005	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Trichomonascaceae; g__Starmerella
OTU_10010	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum
OTU_10012	k__Fungi; p__Ascomycota; c__NA; o__NA; f__NA; g__NA
OTU_10015	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cystostereaceae; g__Crustomyces
OTU_10016	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__NA; f__NA; g__NA
OTU_10017	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__NA; g__NA
OTU_10018	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_1002	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Sclerodermataceae; g__Scleroderma
OTU_10020	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Neurospora
OTU_10025	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida
OTU_10027	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Brycekendrickomyces
OTU_10028	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
OTU_10030	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia
